"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2020","1,505.70","1,512.20","1,512.20","1,512.00","0.28K","0.00%"
"08/19/2020","1,505.70","1,512.20","1,513.50","1,511.24","0.02K","0.00%"
"08/18/2020","1,505.70","1,512.00","1,513.50","1,511.24","0.03K","0.01%"
"08/17/2020","1,505.50","1,512.20","1,515.30","1,510.42","0.03K","-0.01%"
"08/14/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.02K","0.01%"
"08/13/2020","1,505.50","1,512.00","1,514.30","1,510.74","0.04K","0.00%"
"08/12/2020","1,505.50","1,512.00","1,514.15","1,510.74","0.04K","0.10%"
"08/11/2020","1,503.99","1,512.00","1,514.65","1,510.24","0.03K","-0.10%"
"08/10/2020","1,505.50","1,512.20","1,514.65","1,510.74","0.04K","-0.01%"
"08/07/2020","1,505.70","1,512.00","1,514.00","1,511.24","0.03K","0.01%"
"08/06/2020","1,505.50","1,512.00","1,514.00","1,511.24","0.04K","0.00%"
"08/05/2020","1,505.50","1,512.20","1,512.20","1,512.00","0.05K","-0.01%"
"08/04/2020","1,505.70","1,512.20","1,512.20","1,512.00","0.02K","0.01%"
"08/03/2020","1,505.50","1,512.00","1,515.65","1,511.74","0.03K","0.00%"
"07/31/2020","1,505.50","1,512.20","1,512.20","1,512.00","0.01K","-0.01%"
"07/30/2020","1,505.70","1,512.00","1,514.15","1,511.74","0.06K","0.01%"
"07/29/2020","1,505.50","1,513.14","1,514.30","1,511.74","0.03K","0.00%"
"07/28/2020","1,505.50","1,512.00","1,515.15","1,511.74","0.02K","0.03%"
"07/27/2020","1,504.98","1,512.00","1,514.00","1,511.74","0.02K","-0.03%"
"07/24/2020","1,505.50","1,512.00","1,514.50","1,511.24","0.02K","0.00%"
"07/23/2020","1,505.50","1,511.49","1,514.00","1,511.24","0.04K","-0.01%"
"07/22/2020","1,505.70","1,512.20","1,514.00","1,512.00","0.03K","-0.15%"
"07/21/2020","1,508.00","1,514.50","1,515.50","1,510.74","0.03K","0.20%"
"07/20/2020","1,504.98","1,512.00","1,515.60","1,511.24","0.03K","-0.03%"
"07/17/2020","1,505.50","1,512.00","1,514.00","1,512.00","0.02K","-0.01%"
"07/16/2020","1,505.70","1,512.00","1,514.00","1,511.24","0.03K","0.05%"
"07/15/2020","1,504.98","1,512.20","1,515.15","1,511.74","0.02K","-0.05%"
"07/14/2020","1,505.70","1,512.20","1,514.00","1,512.00","0.02K","-0.02%"
"07/13/2020","1,505.98","1,512.00","1,514.00","1,512.00","0.02K","0.00%"
"07/10/2020","1,505.98","1,512.00","1,514.15","1,511.74","0.01K","0.07%"
"07/09/2020","1,504.98","1,512.00","1,515.30","1,511.74","0.02K","-0.07%"
"07/08/2020","1,505.98","1,512.00","1,515.30","1,512.00","0.03K","0.02%"
"07/07/2020","1,505.70","1,514.64","1,515.15","1,510.74","0.02K","0.00%"
"07/06/2020","1,505.70","1,512.00","1,515.15","1,511.74","0.03K","0.00%"
"07/03/2020","1,505.70","1,512.00","1,514.00","1,512.00","0.01K","0.01%"
"07/02/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.04K","-0.01%"
"07/01/2020","1,505.70","1,512.20","1,514.00","1,512.00","0.02K","-0.08%"
"06/30/2020","1,506.98","1,511.40","1,517.15","1,511.24","0.03K","0.13%"
"06/29/2020","1,504.98","1,512.20","1,514.00","1,509.24","0.05K","-0.13%"
"06/26/2020","1,507.00","1,512.00","1,514.00","1,511.24","0.04K","0.10%"
"06/25/2020","1,505.50","1,512.20","1,514.00","1,511.74","0.03K","-0.01%"
"06/24/2020","1,505.70","1,512.20","1,514.15","1,510.59","0.02K","0.00%"
"06/23/2020","1,505.70","1,512.00","1,514.90","1,509.09","0.04K","0.01%"
"06/22/2020","1,505.50","1,512.00","1,514.90","1,511.24","0.02K","-0.17%"
"06/19/2020","1,508.00","1,512.20","1,514.50","1,512.00","0.04K","0.20%"
"06/18/2020","1,504.98","1,512.20","1,514.00","1,511.74","0.09K","0.00%"
"06/17/2020","1,504.98","1,512.00","1,520.14","1,511.74","0.10K","-0.03%"
"06/16/2020","1,505.50","1,512.00","1,514.45","1,511.24","0.07K","0.00%"
"06/15/2020","1,505.50","1,512.00","1,514.00","1,511.24","0.04K","0.00%"
"06/12/2020","1,505.50","1,512.00","1,514.00","1,511.74","0.03K","0.00%"
"06/11/2020","1,505.50","1,512.20","1,514.15","1,511.24","0.04K","-0.01%"
"06/10/2020","1,505.70","1,512.20","1,514.00","1,510.74","0.04K","0.05%"
"06/09/2020","1,504.98","1,512.00","1,514.45","1,511.24","0.04K","-0.03%"
"06/08/2020","1,505.50","1,512.00","1,514.15","1,510.59","0.06K","0.03%"
"06/05/2020","1,504.98","1,512.00","1,517.64","1,510.59","0.04K","0.07%"
"06/04/2020","1,503.99","1,514.14","1,516.15","1,510.59","0.05K","-0.27%"
"06/03/2020","1,508.00","1,512.20","1,515.50","1,510.49","0.04K","0.20%"
"06/02/2020","1,504.98","1,514.00","1,514.65","1,511.24","0.03K","0.00%"
"06/01/2020","1,504.98","1,512.00","1,514.50","1,511.74","0.05K","0.00%"
"05/29/2020","1,504.98","1,512.00","1,514.50","1,509.74","0.02K","-0.13%"
"05/28/2020","1,506.98","1,512.00","1,513.50","1,512.00","0.02K","0.10%"
"05/27/2020","1,505.50","1,512.00","1,513.65","1,511.74","0.03K","-0.01%"
"05/26/2020","1,505.70","1,512.20","1,513.65","1,511.24","0.04K","0.00%"
"05/25/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.02K","0.01%"
"05/22/2020","1,505.50","1,512.00","1,513.65","1,511.24","0.03K","-0.03%"
"05/21/2020","1,505.98","1,512.00","1,514.50","1,509.74","0.03K","0.03%"
"05/20/2020","1,505.50","1,512.00","1,513.50","1,509.74","0.02K","0.00%"
"05/19/2020","1,505.50","1,512.20","1,513.50","1,511.74","0.03K","-0.10%"
"05/18/2020","1,507.00","1,512.20","1,513.50","1,512.00","0.02K","0.13%"
"05/15/2020","1,504.98","1,512.20","1,513.65","1,511.24","0.03K","0.00%"
"05/14/2020","1,504.98","1,512.20","1,513.95","1,511.74","0.03K","-0.07%"
"05/13/2020","1,505.98","1,514.00","1,514.50","1,511.74","0.03K","0.13%"
"05/12/2020","1,503.99","1,512.20","1,514.15","1,511.24","0.04K","-0.11%"
"05/11/2020","1,505.70","1,512.20","1,513.80","1,511.24","0.53K","0.00%"
"05/08/2020","1,505.70","1,512.20","1,514.15","1,511.24","0.02K","0.00%"
"05/07/2020","1,505.70","1,512.20","1,513.50","1,511.24","0.03K","-0.02%"
"05/06/2020","1,505.96","1,512.20","1,516.64","1,511.24","5.37K","0.02%"
"05/05/2020","1,505.70","1,512.20","1,514.15","1,511.24","4.01K","-0.61%"
"05/04/2020","1,514.96","1,512.20","1,521.60","1,511.74","0.02K","0.61%"
"05/01/2020","1,505.70","1,512.20","1,515.15","1,508.99","1.84K","0.00%"
"04/30/2020","1,505.70","1,512.20","1,514.50","1,509.09","4.25K","0.00%"
"04/29/2020","1,505.70","1,515.00","1,515.15","1,511.24","5.26K","0.00%"
"04/28/2020","1,505.70","1,512.20","1,514.95","1,511.24","5.95K","0.00%"
"04/27/2020","1,505.70","1,512.00","1,514.95","1,510.59","5.24K","0.11%"
"04/24/2020","1,503.99","1,512.00","1,515.10","1,511.24","1.80K","-0.07%"
"04/23/2020","1,504.98","1,511.89","1,515.60","1,510.74","2.20K","0.00%"
"04/22/2020","1,504.98","1,512.00","1,515.64","1,511.74","5.98K","0.07%"
"04/21/2020","1,503.99","1,512.00","1,514.65","1,510.99","1.88K","-0.10%"
"04/20/2020","1,505.50","1,512.00","1,513.65","1,510.99","1.70K","0.00%"
"04/17/2020","1,505.50","1,512.00","1,514.20","1,511.24","1.79K","0.03%"
"04/16/2020","1,504.98","1,512.00","1,514.80","1,511.24","1.13K","-0.03%"
"04/15/2020","1,505.50","1,512.00","1,514.30","1,511.24","0.02K","0.00%"
"04/14/2020","1,505.50","1,512.00","1,513.95","1,510.99","0.02K","0.00%"
"04/13/2020","1,505.50","1,512.20","1,513.65","1,510.99","0.05K","0.00%"
"04/10/2020","1,505.50","1,512.20","1,513.00","1,512.00","0.01K","-0.01%"
"04/09/2020","1,505.70","1,512.20","1,513.00","1,509.84","0.02K","0.00%"
"04/08/2020","1,505.70","1,512.20","1,514.15","1,510.99","0.13K","0.15%"
"04/07/2020","1,503.48","1,512.20","1,514.00","1,509.74","0.03K","-0.07%"
"04/06/2020","1,504.47","1,512.20","1,514.00","1,511.48","0.02K","-0.08%"
"04/03/2020","1,505.70","1,512.20","1,513.80","1,507.73","0.06K","0.01%"
"04/02/2020","1,505.50","1,511.14","1,514.15","1,510.74","0.03K","0.00%"
"04/01/2020","1,505.50","1,512.00","1,512.65","1,510.99","0.21K","0.00%"
"03/31/2020","1,505.50","1,511.14","1,513.50","1,510.74","0.74K","0.00%"
"03/30/2020","1,505.50","1,512.00","1,514.30","1,511.23","0.02K","-0.01%"
"03/27/2020","1,505.70","1,512.00","1,514.65","1,510.99","0.02K","0.08%"
"03/26/2020","1,504.47","1,512.20","1,514.30","1,510.74","0.03K","0.07%"
"03/25/2020","1,503.48","1,512.00","1,514.15","1,510.99","0.03K","0.00%"
"03/24/2020","1,503.48","1,512.20","1,514.15","1,510.99","0.02K","-0.15%"
"03/23/2020","1,505.70","1,512.20","1,514.15","1,510.49","0.22K","0.00%"
"03/20/2020","1,505.70","1,513.50","1,514.00","1,509.49","2.21K","0.15%"
"03/19/2020","1,503.48","1,512.20","1,514.15","1,510.99","0.03K","0.00%"
"03/18/2020","1,503.48","1,512.20","1,514.00","1,510.99","1.99K","-0.15%"
"03/17/2020","1,505.70","1,512.20","1,514.00","1,510.74","1.33K","0.00%"
"03/16/2020","1,505.70","1,512.20","1,514.15","1,511.48","0.02K","0.00%"
"03/13/2020","1,505.70","1,512.20","1,520.38","1,511.48","0.23K","0.15%"
"03/12/2020","1,503.48","1,512.00","1,513.65","1,510.74","0.06K","-0.13%"
"03/11/2020","1,505.50","1,512.00","1,514.00","1,510.99","0.06K","0.07%"
"03/10/2020","1,504.47","1,512.00","1,514.10","1,510.74","0.05K","-0.07%"
"03/09/2020","1,505.50","1,512.00","1,514.15","1,509.74","0.03K","0.00%"
"03/06/2020","1,505.50","1,512.00","1,514.60","1,509.74","0.03K","0.20%"
"03/05/2020","1,502.48","1,512.00","1,514.15","1,509.74","0.02K","-0.20%"
"03/04/2020","1,505.50","1,512.00","1,514.00","1,512.00","0.02K","0.20%"
"03/03/2020","1,502.48","1,512.20","1,513.65","1,510.24","0.02K","0.09%"
"03/02/2020","1,501.18","1,511.90","1,514.30","1,509.79","0.03K","-0.52%"
"02/28/2020","1,509.00","1,512.00","1,514.15","1,509.94","0.02K","0.23%"
"02/27/2020","1,505.50","1,512.00","1,514.15","1,509.84","0.02K","0.20%"
"02/26/2020","1,502.48","1,512.00","1,514.20","1,510.24","0.03K","-0.13%"
"02/25/2020","1,504.47","1,512.00","1,514.20","1,510.99","0.02K","-0.07%"
"02/24/2020","1,505.50","1,512.00","1,514.35","1,510.49","0.03K","0.00%"
"02/21/2020","1,505.50","1,512.00","1,514.00","1,509.99","0.03K","0.00%"
"02/20/2020","1,505.50","1,512.00","1,514.00","1,509.99","0.04K","0.13%"
"02/19/2020","1,503.48","1,512.20","1,517.53","1,510.99","0.61K","-0.13%"
"02/18/2020","1,505.50","1,512.00","1,514.15","1,510.49","0.48K","0.00%"
"02/17/2020","1,505.50","1,512.20","1,513.35","1,511.75","0.03K","-0.01%"
"02/14/2020","1,505.70","1,512.20","1,514.15","1,510.24","0.06K","0.00%"
"02/13/2020","1,505.70","1,512.00","1,514.15","1,510.74","0.05K","0.01%"
"02/12/2020","1,505.50","1,512.00","1,512.20","1,512.00","0.04K","0.00%"
"02/11/2020","1,505.50","1,512.00","1,514.00","1,510.49","0.03K","0.00%"
"02/10/2020","1,505.50","1,512.00","1,514.15","1,511.48","0.04K","-0.01%"
"02/07/2020","1,505.70","1,512.20","1,514.15","1,510.49","0.04K","0.00%"
"02/06/2020","1,505.70","1,512.00","1,514.15","1,510.99","0.03K","0.15%"
"02/05/2020","1,503.48","1,512.00","1,514.75","1,510.49","0.03K","-0.13%"
"02/04/2020","1,505.50","1,512.00","1,514.00","1,510.74","0.03K","0.00%"
"02/03/2020","1,505.50","1,512.00","1,512.35","1,510.49","0.02K","0.00%"
"01/31/2020","1,505.50","1,512.20","1,514.00","1,509.59","0.04K","-0.17%"
"01/30/2020","1,508.00","1,512.00","1,514.15","1,509.59","0.10K","0.23%"
"01/29/2020","1,504.47","1,512.00","1,514.15","1,510.24","0.06K","-0.07%"
"01/28/2020","1,505.50","1,512.00","1,513.65","1,510.24","0.03K","0.00%"
"01/27/2020","1,505.50","1,512.00","1,513.50","1,510.24","0.04K","0.00%"
"01/24/2020","1,505.50","1,512.20","1,514.15","1,510.24","0.05K","-0.01%"
"01/23/2020","1,505.70","1,510.74","1,514.15","1,510.24","0.04K","0.00%"
"01/22/2020","1,505.70","1,512.20","1,514.30","1,510.39","0.04K","0.00%"
"01/21/2020","1,505.70","1,512.20","1,514.00","1,511.60","0.05K","0.00%"
"01/20/2020","1,505.70","1,512.00","1,514.00","1,512.00","0.02K","0.00%"
"01/17/2020","1,505.70","1,512.20","1,512.20","1,512.00","0.04K","0.00%"
"01/16/2020","1,505.70","1,512.20","1,514.00","1,510.74","0.04K","0.15%"
"01/15/2020","1,503.48","1,513.50","1,514.00","1,509.59","0.05K","-0.13%"
"01/14/2020","1,505.50","1,512.00","1,514.30","1,510.49","0.03K","0.00%"
"01/13/2020","1,505.50","1,512.00","1,514.00","1,511.75","0.56K","0.30%"
"01/10/2020","1,500.98","1,512.20","1,513.40","1,509.49","0.03K","-0.53%"
"01/09/2020","1,509.00","1,512.00","1,514.00","1,510.24","0.04K","0.23%"
"01/08/2020","1,505.50","1,512.00","1,513.65","1,510.24","0.05K","0.00%"
"01/07/2020","1,505.50","1,512.00","1,513.00","1,509.74","0.06K","0.00%"
"01/06/2020","1,505.50","1,512.00","1,513.50","1,509.74","0.09K","-0.17%"
"01/03/2020","1,508.00","1,512.00","1,517.88","1,510.74","0.05K","0.17%"
"01/02/2020","1,505.50","1,512.00","1,513.65","1,511.23","0.03K","0.00%"
"01/01/2020","1,505.50","1,512.00","1,512.00","1,512.00","","0.00%"
"12/31/2019","1,505.50","1,512.20","1,513.35","1,511.75","0.03K","-0.01%"
"12/30/2019","1,505.70","1,512.00","1,513.35","1,511.75","0.02K","0.01%"
"12/27/2019","1,505.50","1,512.20","1,513.35","1,511.75","0.03K","0.13%"
"12/26/2019","1,503.48","1,512.00","1,514.00","1,510.24","0.02K","-0.15%"
"12/25/2019","1,505.70","1,512.20","1,512.20","1,512.00","","0.00%"
"12/24/2019","1,505.70","1,512.00","1,513.65","1,510.24","0.03K","0.15%"
"12/23/2019","1,503.48","1,512.20","1,513.55","1,509.24","0.03K","-0.15%"
"12/20/2019","1,505.70","1,512.00","1,516.53","1,509.74","0.03K","0.01%"
"12/19/2019","1,505.50","1,512.00","1,513.50","1,510.74","0.03K","0.00%"
"12/18/2019","1,505.50","1,512.00","1,520.38","1,510.24","0.38K","0.00%"
"12/17/2019","1,505.50","1,512.00","1,519.38","1,509.74","0.03K","0.00%"
"12/16/2019","1,505.50","1,512.00","1,513.65","1,510.24","0.05K","0.13%"
"12/13/2019","1,503.48","1,511.04","1,514.00","1,510.24","0.05K","0.07%"
"12/12/2019","1,502.48","1,512.20","1,513.65","1,510.24","0.02K","-0.20%"
"12/11/2019","1,505.50","1,512.00","1,513.40","1,510.24","0.05K","0.00%"
"12/10/2019","1,505.50","1,512.20","1,513.50","1,510.74","0.03K","-0.23%"
"12/09/2019","1,509.00","1,512.00","1,514.00","1,511.75","0.04K","0.23%"
"12/06/2019","1,505.50","1,512.00","1,513.35","1,511.75","0.02K","0.00%"
"12/05/2019","1,505.50","1,512.20","1,513.50","1,507.50","0.03K","0.00%"
"12/04/2019","1,505.50","1,512.20","1,513.35","1,511.75","0.02K","-0.01%"
"12/03/2019","1,505.70","1,513.00","1,513.85","1,511.50","0.04K","0.01%"
"12/02/2019","1,505.50","1,512.00","1,513.35","1,511.75","0.01K","0.00%"
"11/29/2019","1,505.50","1,512.00","1,514.00","1,511.75","0.03K","-0.01%"
"11/28/2019","1,505.70","1,512.20","1,512.20","1,512.00","","0.00%"
"11/27/2019","1,505.70","1,512.00","1,513.35","1,511.75","0.02K","0.01%"
"11/26/2019","1,505.50","1,512.00","1,514.36","1,509.49","0.19K","0.00%"
"11/25/2019","1,505.50","1,512.20","1,515.18","1,509.36","0.04K","-0.01%"
"11/22/2019","1,505.70","1,512.20","1,515.03","1,511.23","0.02K","0.00%"
"11/21/2019","1,505.70","1,512.00","1,514.00","1,511.75","0.03K","0.01%"
"11/20/2019","1,505.50","1,512.20","1,514.05","1,508.68","0.05K","-0.01%"
"11/19/2019","1,505.70","1,512.00","1,514.26","1,509.09","0.05K","0.01%"
"11/18/2019","1,505.50","1,512.00","1,513.35","1,511.75","0.02K","0.30%"
"11/15/2019","1,500.98","1,512.05","1,513.93","1,508.99","0.04K","0.00%"
"11/14/2019","1,501.03","1,512.20","1,514.19","1,506.02","0.04K","-0.31%"
"11/13/2019","1,505.70","1,512.00","1,513.83","1,509.49","0.03K","0.00%"
"11/12/2019","1,505.70","1,512.20","1,513.35","1,511.25","0.03K","0.00%"
"11/11/2019","1,505.70","1,512.00","1,513.35","1,511.25","0.02K","0.01%"
"11/08/2019","1,505.50","1,512.00","1,513.35","1,511.25","0.03K","0.00%"
"11/07/2019","1,505.50","1,512.00","1,513.43","1,508.99","0.03K","0.00%"
